game_type,content,hint
typing,"Quality is not an act, it is a habit.",""
typing,"The way to get started is to quit talking and begin doing.",""
typing,"Keep going. Everything you need will come to you.",""
typing,"The expert in anything was once a beginner.",""
typing,"You are capable of amazing things.",""
typing,"Success is not in what you have, but who you are.",""
typing,"You miss 100% of the shots you don't take.",""
typing,"The best time to plant a tree was 20 years ago. The second best time is now.",""
typing,"Learn as if you will live forever, live like you will die tomorrow.",""
typing,"Don't let yesterday take up too much of today.",""
typing,"When nothing goes right, go left.",""
typing,"You only fail when you stop trying.",""
typing,"Even the greatest were beginners.",""
typing,"Difficulties strengthen the mind, as labor does the body.",""
typing,"A river cuts through rock, not because of its power, but because of its persistence.",""
typing,"Perseverance is not a long race; it is many short races one after the other.",""
typing,"Motivation gets you going, but discipline keeps you growing.",""
typing,"Don't count the days, make the days count.",""
typing,"Preparation is the key to success.",""
typing,"Diligence is the mother of good luck.",""
typing,"Live as if you were to die tomorrow. Learn as if you were to live forever.",""
typing,"You learn more from failure than from success.",""
typing,"Success is not built on success. It's built on failure, frustration, and sometimes even catastrophe.",""
typing,"Fall seven times, stand up eight.",""
typing,"Failure is simply the opportunity to begin again, this time more intelligently.",""
typing,"Your attitude, not your aptitude, will determine your altitude.",""
typing,"Don’t let what you cannot do interfere with what you can do.",""
typing,"If you think education is expensive, try ignorance.",""
typing,"You don’t have to be great to start, but you have to start to be great.",""
typing,"The beautiful thing about learning is nobody can take it away from you.",""
typing,"Success is the result of preparation, hard work, and learning from failure.",""
typing,"Learning never exhausts the mind.",""
typing,"Change is the end result of all true learning.",""
typing,"Learning is not attained by chance, it must be sought for with ardor and attended to with diligence.",""
typing,"Education is the passport to the future, for tomorrow belongs to those who prepare for it today.",""
typing,"The mind is not a vessel to be filled, but a fire to be kindled.",""
typing,"Tell me and I forget. Teach me and I remember. Involve me and I learn.",""
typing,"The roots of education are bitter, but the fruit is sweet.",""
typing,"A person who never made a mistake never tried anything new.",""
typing,"Education is the most powerful weapon which you can use to change the world.",""
scramble,cat,"A small furry pet"
scramble,dog,"Man's best friend"
scramble,book,"You read this"
scramble,house,"Where you live"
scramble,water,"Clear liquid you drink"
scramble,smile,"Happy facial expression"
scramble,music,"Sounds that are pleasant"
scramble,friend,"Someone you like"
scramble,school,"Place of learning"
scramble,happy,"Feeling of joy"
scramble,computer,"Electronic device for computing"
scramble,keyboard,"Input device with keys"
scramble,rainbow,"Colorful arc in the sky"
scramble,elephant,"Large gray animal with trunk"
scramble,butterfly,"Colorful flying insect"
scramble,sandwich,"Food between bread slices"
scramble,calendar,"Shows dates and months"
scramble,telescope,"Used to see distant objects"
scramble,chocolate,"Sweet brown treat"
scramble,adventure,"Exciting journey or experience"
scramble,programming,"Art of creating software"
scramble,architecture,"Design of buildings and structures"
scramble,photosynthesis,"How plants make food from sunlight"
scramble,constellation,"Group of stars forming a pattern"
scramble,encyclopedia,"Comprehensive reference book"
scramble,refrigerator,"Appliance that keeps food cold"
scramble,understanding,"Deep comprehension of something"
scramble,imagination,"Ability to create mental images"
scramble,responsibility,"Duty or obligation to do something"
scramble,communication,"Exchange of information between people"
scramble,apple,"A red or green fruit"
scramble,banana,"A long yellow fruit"
scramble,orange,"A citrus fruit and a color"
scramble,grape,"Small purple or green fruit"
scramble,lemon,"A sour yellow fruit"
scramble,carrot,"An orange root vegetable"
scramble,potato,"A starchy root vegetable"
scramble,tomato,"A red fruit often used as a vegetable"
scramble,lettuce,"A leafy green for salads"
scramble,broccoli,"A green vegetable that looks like a tree"
scramble,rose,"A red or pink flower"
scramble,sunflower,"A tall yellow flower"
scramble,tulip,"A spring flower"
scramble,daisy,"A white flower with a yellow center"
scramble,lily,"A fragrant flower"
scramble,spoon,"Used to eat soup"
scramble,knife,"Used to cut food"
scramble,plate,"Holds your food"
scramble,cup,"Used for drinking"
scramble,table,"You eat meals on it"
scramble,chair,"You sit on it"
scramble,couch,"Big comfy seat"
scramble,window,"Lets light in a room"
scramble,door,"You open to go in or out"
scramble,pencil,"You write with it"
scramble,eraser,"Used to remove pencil marks"
scramble,notebook,"You take notes in this"
scramble,backpack,"You carry your books in it"
scramble,paper,"You write or print on it"
scramble,phone,"A device to call people"
scramble,television,"You watch shows on this"
scramble,laptop,"A portable computer"
scramble,mouse,"A computer input device"
scramble,clock,"Shows the time"
scramble,watch,"Timepiece worn on the wrist"
scramble,mirror,"It reflects your image"
scramble,blanket,"Keeps you warm at night"
scramble,pillow,"You rest your head on this"
scramble,bed,"You sleep here"
scramble,shoes,"Worn on your feet"
scramble,socks,"Worn inside shoes"
scramble,shirt,"Upper body clothing"
scramble,pants,"Lower body clothing"
scramble,hat,"Worn on your head"
scramble,jacket,"Outerwear for cold weather"
scramble,umbrella,"Used in the rain"
scramble,car,"A vehicle with four wheels"
scramble,bus,"Transports many people"
scramble,bicycle,"A vehicle with two wheels"
scramble,train,"Moves on tracks"
scramble,airplane,"Flies in the sky"
scramble,boat,"Floats on water"
scramble,ship,"Large boat"
scramble,rocket,"Travels to space"
scramble,star,"Shines in the night sky"
scramble,planet,"Orbits a star"
scramble,moon,"Earth's natural satellite"
scramble,sun,"The center of our solar system"
scramble,cloud,"White and fluffy in the sky"
scramble,storm,"Bad weather with rain and wind"
scramble,wind,"Moving air"
scramble,snow,"Frozen rain"
scramble,rain,"Water that falls from clouds"
scramble,fire,"It burns and gives heat"
scramble,ice,"Frozen water"
scramble,desert,"A hot, dry place"
scramble,forest,"Many trees together"
scramble,mountain,"Very high land"
scramble,valley,"Low land between hills"
scramble,island,"Land surrounded by water"
scramble,river,"A large stream of water"
scramble,beach,"Sandy area by water"
scramble,park,"A place for fun outdoors"
scramble,city,"A large town"
scramble,village,"A small town"
scramble,country,"A nation or rural area"
scramble,world,"The planet we live on"
scramble,universe,"All of space and everything in it"
